H1_Fact_ID,Year,Economic_Period,Metric_ID,Canonical_Metric_ID,Source_Fact_ID,Value,Unit,Analytical_Value,Analytical_Unit,Conversion_Factor,Accounting_Basis,Scope,Fact_Type,Original_or_Restated,Transformation,Source_ID,Source_Report_Period
2020::G1R2020-0001,2020,2020A,IS_TOTAL_REVENUE,IS_TOTAL_REVENUE,G1R2020-0001,285709.729,RMB_MILLION,285709.729,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
2020::G1R2020-0002,2020,2020A,IS_OPERATING_REVENUE,IS_OPERATING_REVENUE,G1R2020-0002,284221.249,RMB_MILLION,284221.249,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
2020::G1R2020-0003,2020,2020A,IS_FINANCIAL_BUSINESS_INTEREST_INCOME,IS_FINANCIAL_BUSINESS_INTEREST_INCOME,G1R2020-0003,1488.211,RMB_MILLION,1488.211,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
2020::G1R2020-0004,2020,2020A,IS_FEE_COMMISSION_INCOME,IS_FEE_COMMISSION_INCOME,G1R2020-0004,0.269,RMB_MILLION,0.269,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
2020::G1R2020-0005,2020,2020A,IS_OPERATING_COST,IS_OPERATING_COST,G1R2020-0005,-212839.592,RMB_MILLION,-212839.592,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
2020::G1R2020-0006,2020,2020A,IS_FINANCIAL_BUSINESS_INTEREST_COST,IS_FINANCIAL_BUSINESS_INTEREST_COST,G1R2020-0006,-105.168,RMB_MILLION,-105.168,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
2020::G1R2020-0007,2020,2020A,IS_FEE_COMMISSION_EXPENSE,IS_FEE_COMMISSION_EXPENSE,G1R2020-0007,-6.972,RMB_MILLION,-6.972,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
2020::G1R2020-0008,2020,2020A,IS_TAXES_SURCHARGES,IS_TAXES_SURCHARGES,G1R2020-0008,-1533.646,RMB_MILLION,-1533.646,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
2020::G1R2020-0009,2020,2020A,IS_SELLING_EXPENSE,IS_SELLING_EXPENSE,G1R2020-0009,-27522.276,RMB_MILLION,-27522.276,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
2020::G1R2020-0010,2020,2020A,IS_ADMIN_EXPENSE,IS_ADMIN_EXPENSE,G1R2020-0010,-9264.148,RMB_MILLION,-9264.148,RMB_MILLION,1,CAS,GROUP_CONSOLIDATED,SOURCE_REPORTED_DIRECT,ORIGINAL,UNIT_NORMALIZATION_ONLY,SRC010,2020A
