Canonical_Metric_ID,Original_Source_ID,Original_Fact_ID,Original_Value,Later_Source_ID,Later_Comparative_Fact_ID,Later_Comparative_Value,Difference,Basis,Scope,Unit,Classification,Original_PDF_Page,Original_Locator
IS_TOTAL_REVENUE,SRC013,H2::SRC013::CURRENT::IS_TOTAL_REVENUE,128428421,SRC027,H2::SRC027::COMPARATIVE::IS_TOTAL_REVENUE,128428421,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"I. Total revenue 128,428,421 106,483,190 240,751 126,624 Including: Operating revenue 127,838,538 106,101,612 240,751 126,624 Interest income 589,752 381,460 – – Fee and commis"
IS_OPERATING_REVENUE,SRC013,H2::SRC013::CURRENT::IS_OPERATING_REVENUE,127838538,SRC027,H2::SRC027::COMPARATIVE::IS_OPERATING_REVENUE,127838538,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"Operating revenue 127,838,538 106,101,612 240,751 126,624 Interest income 589,752 381,460 – – Fee and commission income 131 118 – – II. Total operating cost (112,773,852) (95,73"
IS_FINANCIAL_BUSINESS_INTEREST_INCOME,SRC013,H2::SRC013::CURRENT::IS_FINANCIAL_BUSINESS_INTEREST_INCOME,589752,SRC027,H2::SRC027::COMPARATIVE::IS_FINANCIAL_BUSINESS_INTEREST_INCOME,589752,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"Interest income 589,752 381,460 – – Fee and commission income 131 118 – – II. Total operating cost (112,773,852) (95,739,487) (56,403) 35,257 Including: Cost of sales (95,307,"
IS_FEE_COMMISSION_INCOME,SRC013,H2::SRC013::CURRENT::IS_FEE_COMMISSION_INCOME,131,SRC027,H2::SRC027::COMPARATIVE::IS_FEE_COMMISSION_INCOME,131,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"Fee and commission income 131 118 – – II. Total operating cost (112,773,852) (95,739,487) (56,403) 35,257 Including: Cost of sales (95,307,291) (77,905,030) (9,786) (10,304) Interest co"
IS_OPERATING_COST,SRC013,H2::SRC013::CURRENT::IS_OPERATING_COST,-112773852,SRC027,H2::SRC027::COMPARATIVE::IS_OPERATING_COST,-112773852,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"II. Total operating cost (112,773,852) (95,739,487) (56,403) 35,257 Including: Cost of sales (95,307,291) (77,905,030) (9,786) (10,304) Interest costs (74) (41) – – Fee and commission"
IS_COST_OF_SALES,SRC013,H2::SRC013::CURRENT::IS_COST_OF_SALES,-95307291,SRC027,H2::SRC027::COMPARATIVE::IS_COST_OF_SALES,-95307291,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"Cost of sales (95,307,291) (77,905,030) (9,786) (10,304) Interest costs (74) (41) – – Fee and commission expenses (505) (190) – – Taxes and surcharges (546,743) (527,711) (1"
IS_TAXES_SURCHARGES,SRC013,H2::SRC013::CURRENT::IS_TAXES_SURCHARGES,-546743,SRC027,H2::SRC027::COMPARATIVE::IS_TAXES_SURCHARGES,-546743,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"Taxes and surcharges (546,743) (527,711) (10,897) (10,616) Selling and marketing expenses (11,874,752) (9,839,180) – – General and administrative expenses (3,536,613) (3,315,089) ("
IS_SELLING_EXPENSE,SRC013,H2::SRC013::CURRENT::IS_SELLING_EXPENSE,-11874752,SRC027,H2::SRC027::COMPARATIVE::IS_SELLING_EXPENSE,-11874752,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"Selling and marketing expenses (11,874,752) (9,839,180) – – General and administrative expenses (3,536,613) (3,315,089) (379,499) (408,831) Research and development expenses (4,347,878) (3,5"
IS_ADMIN_EXPENSE,SRC013,H2::SRC013::CURRENT::IS_ADMIN_EXPENSE,-3536613,SRC027,H2::SRC027::COMPARATIVE::IS_ADMIN_EXPENSE,-3536613,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"General and administrative expenses (3,536,613) (3,315,089) (379,499) (408,831) Research and development expenses (4,347,878) (3,594,988) – – Finance income 2,840,004 (557,258) 343,779 465,008 In"
IS_RD_EXPENSE,SRC013,H2::SRC013::CURRENT::IS_RD_EXPENSE,-4347878,SRC027,H2::SRC027::COMPARATIVE::IS_RD_EXPENSE,-4347878,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"Research and development expenses (4,347,878) (3,594,988) – – Finance income 2,840,004 (557,258) 343,779 465,008 Including: Interest expenses (446,533) (531,995) (714,489) (714,160) Interest in"
IS_OTHER_INCOME,SRC013,H2::SRC013::CURRENT::IS_OTHER_INCOME,620406,SRC027,H2::SRC027::COMPARATIVE::IS_OTHER_INCOME,620406,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"Other income 620,406 643,446 8 45 Investment income 533,799 27,984 193,106 334,159 Including: Share of profit of associates and joint ventures 101,471 124,468 49,657 80,109"
IS_INVESTMENT_INCOME,SRC013,H2::SRC013::CURRENT::IS_INVESTMENT_INCOME,533799,SRC027,H2::SRC027::COMPARATIVE::IS_INVESTMENT_INCOME,533799,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,12,"Investment income 533,799 27,984 193,106 334,159 Including: Share of profit of associates and joint ventures 101,471 124,468 49,657 80,109 Losses on changes in fair value (1,081"
IS_OPERATING_PROFIT,SRC013,H2::SRC013::CURRENT::IS_OPERATING_PROFIT,15119192,SRC027,H2::SRC027::COMPARATIVE::IS_OPERATING_PROFIT,15119192,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,13,"III. Operating profit 15,119,192 10,653,447 287,447 445,639 Add: Non-operating income 48,173 115,251 8,376 26,935 Less: Non-operating expenses (32,436) (25,427) (2,360) (204) IV. To"
IS_NONOPERATING_INCOME,SRC013,H2::SRC013::CURRENT::IS_NONOPERATING_INCOME,48173,SRC027,H2::SRC027::COMPARATIVE::IS_NONOPERATING_INCOME,48173,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,13,"Non-operating income 48,173 115,251 8,376 26,935 Less: Non-operating expenses (32,436) (25,427) (2,360) (204) IV. Total profit 15,134,929 10,743,271 293,463 472,370 Less: Income ta"
IS_NONOPERATING_EXPENSE,SRC013,H2::SRC013::CURRENT::IS_NONOPERATING_EXPENSE,-32436,SRC027,H2::SRC027::COMPARATIVE::IS_NONOPERATING_EXPENSE,-32436,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,13,"Non-operating expenses (32,436) (25,427) (2,360) (204) IV. Total profit 15,134,929 10,743,271 293,463 472,370 Less: Income tax expenses (2,389,031) (1,706,950) (48,420) (75,101) V. N"
IS_PBT,SRC013,H2::SRC013::CURRENT::IS_PBT,15134929,SRC027,H2::SRC027::COMPARATIVE::IS_PBT,15134929,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,13,"IV. Total profit 15,134,929 10,743,271 293,463 472,370 Less: Income tax expenses (2,389,031) (1,706,950) (48,420) (75,101) V. Net profit 12,745,898 9,036,321 245,043 397,269 (I"
IS_INCOME_TAX,SRC013,H2::SRC013::CURRENT::IS_INCOME_TAX,-2389031,SRC027,H2::SRC027::COMPARATIVE::IS_INCOME_TAX,-2389031,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,13,"Income tax expenses (2,389,031) (1,706,950) (48,420) (75,101) V. Net profit 12,745,898 9,036,321 245,043 397,269 (I) Classified by continuity of operations Net profit from continu"
IS_NET_PROFIT,SRC013,H2::SRC013::CURRENT::IS_NET_PROFIT,12745898,SRC027,H2::SRC027::COMPARATIVE::IS_NET_PROFIT,12745898,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,13,"V. Net profit 12,745,898 9,036,321 245,043 397,269 (I) Classified by continuity of operations Net profit from continuing operations 12,745,898 9,036,321 245,043 397,269 Net"
IS_ATTRIBUTABLE_NI,SRC013,H2::SRC013::CURRENT::IS_ATTRIBUTABLE_NI,12422233,SRC027,H2::SRC027::COMPARATIVE::IS_ATTRIBUTABLE_NI,12422233,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,13,"Attributable to shareholders of the Company 12,422,233 9,000,007 245,043 397,269 Minority interests 323,665 36,314 – – VI. Other comprehensive income, net of tax 216,367 (553,667) (27,495) (1,306) Other"
IS_NCI_PROFIT,SRC013,H2::SRC013::CURRENT::IS_NCI_PROFIT,323665,SRC027,H2::SRC027::COMPARATIVE::IS_NCI_PROFIT,323665,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,13,"Minority interests 323,665 36,314 – – VI. Other comprehensive income, net of tax 216,367 (553,667) (27,495) (1,306) Other comprehensive income attributable to equity owners of th"
IS_OCI,SRC013,H2::SRC013::CURRENT::IS_OCI,216367,SRC027,H2::SRC027::COMPARATIVE::IS_OCI,216367,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,13,"VI. Other comprehensive income, net of tax 216,367 (553,667) (27,495) (1,306) Other comprehensive income attributable to equity owners of the Company, net of tax 143,947 (453,467) (27,495) (1,306) (I) O"
IS_COMPREHENSIVE_INCOME,SRC013,H2::SRC013::CURRENT::IS_COMPREHENSIVE_INCOME,12962265,SRC027,H2::SRC027::COMPARATIVE::IS_COMPREHENSIVE_INCOME,12962265,0,CAS,GROUP_CONSOLIDATED,RMB_THOUSAND,EXACT,14,"VII. Total comprehensive income 12,962,265 8,482,654 217,548 395,963 Attributable to equity owners of the Company 12,566,180 8,546,540 217,548 395,963 Attributable to minority interests 396,0"
IS_BASIC_EPS,SRC013,H2::SRC013::CURRENT::IS_BASIC_EPS,1.64,SRC027,H2::SRC027::COMPARATIVE::IS_BASIC_EPS,1.64,0,CAS,GROUP_CONSOLIDATED,RMB_PER_SHARE,EXACT,14,Basic earnings per share 1.64 1.31 Not applicable Not applicable (II) Diluted earnings per share 1.63 1.31 Not applicable Not applicable Legal representative: Principal in charge of ac
