H2_Fact_ID,Canonical_Metric_ID,Source_Metric_ID,Economic_Period,Source_Report_Period,Current_or_Comparative,Scope,Accounting_Basis,Unit,Value,Source_ID,Source_SHA256,PDF_Page,Locator_Evidence,Lineage
H2::SRC027::CURRENT::BS_CASH,BS_CASH,Cash at bank and on hand,2026-03-31,2026Q1,CURRENT,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,94092090,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Cash at bank and on hand 94,092,090 85,247,150",PDF_DIRECT
H2::SRC027::COMPARATIVE::BS_CASH,BS_CASH,Cash at bank and on hand,2025-12-31,2026Q1,COMPARATIVE,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,85247150,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Cash at bank and on hand 94,092,090 85,247,150",PDF_DIRECT
H2::SRC027::CURRENT::BS_TRADING_FINANCIAL_ASSETS,BS_TRADING_FINANCIAL_ASSETS,Financial assets held for trading,2026-03-31,2026Q1,CURRENT,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,2330518,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Financial assets held for trading 2,330,518 710,717",PDF_DIRECT
H2::SRC027::COMPARATIVE::BS_TRADING_FINANCIAL_ASSETS,BS_TRADING_FINANCIAL_ASSETS,Financial assets held for trading,2025-12-31,2026Q1,COMPARATIVE,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,710717,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Financial assets held for trading 2,330,518 710,717",PDF_DIRECT
H2::SRC027::CURRENT::BS_DERIVATIVE_FINANCIAL_ASSETS,BS_DERIVATIVE_FINANCIAL_ASSETS,Derivative financial assets,2026-03-31,2026Q1,CURRENT,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,3199464,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Derivative financial assets 3,199,464 2,223,159",PDF_DIRECT
H2::SRC027::COMPARATIVE::BS_DERIVATIVE_FINANCIAL_ASSETS,BS_DERIVATIVE_FINANCIAL_ASSETS,Derivative financial assets,2025-12-31,2026Q1,COMPARATIVE,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,2223159,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Derivative financial assets 3,199,464 2,223,159",PDF_DIRECT
H2::SRC027::CURRENT::BS_NOTES_RECEIVABLE,BS_NOTES_RECEIVABLE,Note receivables,2026-03-31,2026Q1,CURRENT,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,4479637,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Note receivables 4,479,637 5,246,763",PDF_DIRECT
H2::SRC027::COMPARATIVE::BS_NOTES_RECEIVABLE,BS_NOTES_RECEIVABLE,Note receivables,2025-12-31,2026Q1,COMPARATIVE,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,5246763,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Note receivables 4,479,637 5,246,763",PDF_DIRECT
H2::SRC027::CURRENT::BS_AR,BS_AR,Account receivables,2026-03-31,2026Q1,CURRENT,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,52536877,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Account receivables 52,536,877 40,450,097",PDF_DIRECT
H2::SRC027::COMPARATIVE::BS_AR,BS_AR,Account receivables,2025-12-31,2026Q1,COMPARATIVE,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,40450097,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Account receivables 52,536,877 40,450,097",PDF_DIRECT
H2::SRC027::CURRENT::BS_RECEIVABLES_FINANCING,BS_RECEIVABLES_FINANCING,Receivables financing,2026-03-31,2026Q1,CURRENT,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,12276368,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Receivables financing 12,276,368 14,935,344",PDF_DIRECT
H2::SRC027::COMPARATIVE::BS_RECEIVABLES_FINANCING,BS_RECEIVABLES_FINANCING,Receivables financing,2025-12-31,2026Q1,COMPARATIVE,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,14935344,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Receivables financing 12,276,368 14,935,344",PDF_DIRECT
H2::SRC027::CURRENT::BS_PREPAYMENTS,BS_PREPAYMENTS,Prepayments,2026-03-31,2026Q1,CURRENT,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,3743527,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Prepayments 3,743,527 2,987,292",PDF_DIRECT
H2::SRC027::COMPARATIVE::BS_PREPAYMENTS,BS_PREPAYMENTS,Prepayments,2025-12-31,2026Q1,COMPARATIVE,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,2987292,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Prepayments 3,743,527 2,987,292",PDF_DIRECT
H2::SRC027::CURRENT::BS_CONTRACT_ASSETS,BS_CONTRACT_ASSETS,Contract assets,2026-03-31,2026Q1,CURRENT,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,5002738,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Contract assets 5,002,738 4,268,501",PDF_DIRECT
H2::SRC027::COMPARATIVE::BS_CONTRACT_ASSETS,BS_CONTRACT_ASSETS,Contract assets,2025-12-31,2026Q1,COMPARATIVE,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,4268501,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Contract assets 5,002,738 4,268,501",PDF_DIRECT
H2::SRC027::CURRENT::BS_LOANS_ADVANCES_CURRENT,BS_LOANS_ADVANCES_CURRENT,Loan receivables,2026-03-31,2026Q1,CURRENT,GROUP_CONSOLIDATED,CAS,RMB_THOUSAND,13467102,SRC027,cb6f21537289a9c23ea0113602b3fc5e487a68437f8474f7473955abd8390b4c,8,"Loan receivables 13,467,102 11,779,217",PDF_DIRECT
