Driver_ID,Metric_ID,Driver_Family,Forecast_Year,Lower,Central,Upper,Unit,Method,Evidence_IDs,Formula_ID,Materiality,Status
CAPEX_INTENSITY,CAPEX_INTENSITY,PPE,2026,1.74260365,1.79873206,2.02351834,PERCENT,EXACT_CERTIFIED_H3A,CERT-H3A,F-CAPEX_INTENSITY,MATERIAL,RESOLVED
CAPEX_INTENSITY,CAPEX_INTENSITY,PPE,2027,1.77994001,1.85617260,2.06085470,PERCENT,EXACT_CERTIFIED_H3A,CERT-H3A,F-CAPEX_INTENSITY,MATERIAL,RESOLVED
CAPEX_INTENSITY,CAPEX_INTENSITY,PPE,2028,1.80420863,1.89350895,2.08512332,PERCENT,EXACT_CERTIFIED_H3A,CERT-H3A,F-CAPEX_INTENSITY,MATERIAL,RESOLVED
CAPEX_INTENSITY,CAPEX_INTENSITY,PPE,2029,1.81998324,1.91777758,2.10089793,PERCENT,EXACT_CERTIFIED_H3A,CERT-H3A,F-CAPEX_INTENSITY,MATERIAL,RESOLVED
CAPEX_INTENSITY,CAPEX_INTENSITY,PPE,2030,1.83023674,1.93355219,2.11115143,PERCENT,EXACT_CERTIFIED_H3A,CERT-H3A,F-CAPEX_INTENSITY,MATERIAL,RESOLVED
DIO,DIO,WORKING_CAPITAL_DAYS,2026,56.76617205,58.63615767,65.12280877,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DIO,MATERIAL,RESOLVED
DIO,DIO,WORKING_CAPITAL_DAYS,2027,57.97212051,60.49146299,66.32875723,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DIO,MATERIAL,RESOLVED
DIO,DIO,WORKING_CAPITAL_DAYS,2028,58.75598701,61.69741145,67.11262373,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DIO,MATERIAL,RESOLVED
DIO,DIO,WORKING_CAPITAL_DAYS,2029,59.26550023,62.48127795,67.62213695,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DIO,MATERIAL,RESOLVED
DIO,DIO,WORKING_CAPITAL_DAYS,2030,59.59668383,62.99079117,67.95332055,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DIO,MATERIAL,RESOLVED
DPO,DPO,WORKING_CAPITAL_DAYS,2026,93.90754002,96.01853589,101.98431327,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DPO,MATERIAL,RESOLVED
DPO,DPO,WORKING_CAPITAL_DAYS,2027,93.59479131,95.53738403,101.67156456,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DPO,MATERIAL,RESOLVED
DPO,DPO,WORKING_CAPITAL_DAYS,2028,93.39150465,95.22463532,101.46827790,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DPO,MATERIAL,RESOLVED
DPO,DPO,WORKING_CAPITAL_DAYS,2029,93.25936832,95.02134866,101.33614157,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DPO,MATERIAL,RESOLVED
DPO,DPO,WORKING_CAPITAL_DAYS,2030,93.17347971,94.88921233,101.25025296,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DPO,MATERIAL,RESOLVED
DSO,DSO,WORKING_CAPITAL_DAYS,2026,31.03012812,33.54892592,33.12782342,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DSO,MATERIAL,RESOLVED
DSO,DSO,WORKING_CAPITAL_DAYS,2027,30.45729110,32.66763820,32.55498640,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DSO,MATERIAL,RESOLVED
DSO,DSO,WORKING_CAPITAL_DAYS,2028,30.08494704,32.09480119,32.18264234,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DSO,MATERIAL,RESOLVED
DSO,DSO,WORKING_CAPITAL_DAYS,2029,29.84292340,31.72245713,31.94061870,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DSO,MATERIAL,RESOLVED
DSO,DSO,WORKING_CAPITAL_DAYS,2030,29.68560803,31.48043349,31.78330334,DAYS,EXACT_CERTIFIED_H3A,CERT-H3A,F-DSO,MATERIAL,RESOLVED
EFFECTIVE_BORROWING_RATE,FINANCING_RATE,DEBT,2026,2.39969780,3.12551540,4.23827407,PERCENT,HISTORICAL_REALIZED_COST_DIAGNOSTIC_ONLY,CERT-H1,F-EIR,MATERIAL,RESOLVED
EVENT_POLICY_BS_GOODWILL,EVENT_POLICY_BS_GOODWILL,GOVERNED_EVENT_POLICY,2026,34256.85900000,34256.85900000,34256.85900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_ACQUISITION_GOODWILL_MINUS_SOURCE_PROVEN_IMPAIRMENT,CERT-H1|EVENT-POLICY-BS_GOODWILL,F-BS-EVENT-BS_GOODWILL,MATERIAL,RESOLVED
EVENT_POLICY_BS_GOODWILL,EVENT_POLICY_BS_GOODWILL,GOVERNED_EVENT_POLICY,2027,34256.85900000,34256.85900000,34256.85900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_ACQUISITION_GOODWILL_MINUS_SOURCE_PROVEN_IMPAIRMENT,CERT-H1|EVENT-POLICY-BS_GOODWILL,F-BS-EVENT-BS_GOODWILL,MATERIAL,RESOLVED
EVENT_POLICY_BS_GOODWILL,EVENT_POLICY_BS_GOODWILL,GOVERNED_EVENT_POLICY,2028,34256.85900000,34256.85900000,34256.85900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_ACQUISITION_GOODWILL_MINUS_SOURCE_PROVEN_IMPAIRMENT,CERT-H1|EVENT-POLICY-BS_GOODWILL,F-BS-EVENT-BS_GOODWILL,MATERIAL,RESOLVED
EVENT_POLICY_BS_GOODWILL,EVENT_POLICY_BS_GOODWILL,GOVERNED_EVENT_POLICY,2029,34256.85900000,34256.85900000,34256.85900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_ACQUISITION_GOODWILL_MINUS_SOURCE_PROVEN_IMPAIRMENT,CERT-H1|EVENT-POLICY-BS_GOODWILL,F-BS-EVENT-BS_GOODWILL,MATERIAL,RESOLVED
EVENT_POLICY_BS_GOODWILL,EVENT_POLICY_BS_GOODWILL,GOVERNED_EVENT_POLICY,2030,34256.85900000,34256.85900000,34256.85900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_ACQUISITION_GOODWILL_MINUS_SOURCE_PROVEN_IMPAIRMENT,CERT-H1|EVENT-POLICY-BS_GOODWILL,F-BS-EVENT-BS_GOODWILL,MATERIAL,RESOLVED
EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,GOVERNED_EVENT_POLICY,2026,4775.04400000,4775.04400000,4775.04400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_INVESTMENT_AND_DISPOSAL_EVENTS,CERT-H1|EVENT-POLICY-BS_LONG_TERM_INVESTMENTS,F-BS-EVENT-BS_LONG_TERM_INVESTMENTS,MATERIAL,RESOLVED
EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,GOVERNED_EVENT_POLICY,2027,4775.04400000,4775.04400000,4775.04400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_INVESTMENT_AND_DISPOSAL_EVENTS,CERT-H1|EVENT-POLICY-BS_LONG_TERM_INVESTMENTS,F-BS-EVENT-BS_LONG_TERM_INVESTMENTS,MATERIAL,RESOLVED
EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,GOVERNED_EVENT_POLICY,2028,4775.04400000,4775.04400000,4775.04400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_INVESTMENT_AND_DISPOSAL_EVENTS,CERT-H1|EVENT-POLICY-BS_LONG_TERM_INVESTMENTS,F-BS-EVENT-BS_LONG_TERM_INVESTMENTS,MATERIAL,RESOLVED
EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,GOVERNED_EVENT_POLICY,2029,4775.04400000,4775.04400000,4775.04400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_INVESTMENT_AND_DISPOSAL_EVENTS,CERT-H1|EVENT-POLICY-BS_LONG_TERM_INVESTMENTS,F-BS-EVENT-BS_LONG_TERM_INVESTMENTS,MATERIAL,RESOLVED
EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,EVENT_POLICY_BS_LONG_TERM_INVESTMENTS,GOVERNED_EVENT_POLICY,2030,4775.04400000,4775.04400000,4775.04400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_INVESTMENT_AND_DISPOSAL_EVENTS,CERT-H1|EVENT-POLICY-BS_LONG_TERM_INVESTMENTS,F-BS-EVENT-BS_LONG_TERM_INVESTMENTS,MATERIAL,RESOLVED
EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,GOVERNED_EVENT_POLICY,2026,4786.08900000,4786.08900000,4786.08900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_EVENTS,CERT-H1|EVENT-POLICY-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,F-BS-EVENT-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,MATERIAL,RESOLVED
EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,GOVERNED_EVENT_POLICY,2027,4786.08900000,4786.08900000,4786.08900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_EVENTS,CERT-H1|EVENT-POLICY-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,F-BS-EVENT-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,MATERIAL,RESOLVED
EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,GOVERNED_EVENT_POLICY,2028,4786.08900000,4786.08900000,4786.08900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_EVENTS,CERT-H1|EVENT-POLICY-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,F-BS-EVENT-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,MATERIAL,RESOLVED
EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,GOVERNED_EVENT_POLICY,2029,4786.08900000,4786.08900000,4786.08900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_EVENTS,CERT-H1|EVENT-POLICY-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,F-BS-EVENT-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,MATERIAL,RESOLVED
EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,EVENT_POLICY_BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,GOVERNED_EVENT_POLICY,2030,4786.08900000,4786.08900000,4786.08900000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_EVENTS,CERT-H1|EVENT-POLICY-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,F-BS-EVENT-BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,MATERIAL,RESOLVED
EVENT_POLICY_BS_RECEIVABLES_FINANCING,EVENT_POLICY_BS_RECEIVABLES_FINANCING,GOVERNED_EVENT_POLICY,2026,14935.34400000,14935.34400000,14935.34400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_FINANCING_EVENTS,CERT-H1|EVENT-POLICY-BS_RECEIVABLES_FINANCING,F-BS-EVENT-BS_RECEIVABLES_FINANCING,MATERIAL,RESOLVED
EVENT_POLICY_BS_RECEIVABLES_FINANCING,EVENT_POLICY_BS_RECEIVABLES_FINANCING,GOVERNED_EVENT_POLICY,2027,14935.34400000,14935.34400000,14935.34400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_FINANCING_EVENTS,CERT-H1|EVENT-POLICY-BS_RECEIVABLES_FINANCING,F-BS-EVENT-BS_RECEIVABLES_FINANCING,MATERIAL,RESOLVED
EVENT_POLICY_BS_RECEIVABLES_FINANCING,EVENT_POLICY_BS_RECEIVABLES_FINANCING,GOVERNED_EVENT_POLICY,2028,14935.34400000,14935.34400000,14935.34400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_FINANCING_EVENTS,CERT-H1|EVENT-POLICY-BS_RECEIVABLES_FINANCING,F-BS-EVENT-BS_RECEIVABLES_FINANCING,MATERIAL,RESOLVED
EVENT_POLICY_BS_RECEIVABLES_FINANCING,EVENT_POLICY_BS_RECEIVABLES_FINANCING,GOVERNED_EVENT_POLICY,2029,14935.34400000,14935.34400000,14935.34400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_FINANCING_EVENTS,CERT-H1|EVENT-POLICY-BS_RECEIVABLES_FINANCING,F-BS-EVENT-BS_RECEIVABLES_FINANCING,MATERIAL,RESOLVED
EVENT_POLICY_BS_RECEIVABLES_FINANCING,EVENT_POLICY_BS_RECEIVABLES_FINANCING,GOVERNED_EVENT_POLICY,2030,14935.34400000,14935.34400000,14935.34400000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_FINANCING_EVENTS,CERT-H1|EVENT-POLICY-BS_RECEIVABLES_FINANCING,F-BS-EVENT-BS_RECEIVABLES_FINANCING,MATERIAL,RESOLVED
EVENT_POLICY_BS_RESTRICTED_CASH,EVENT_POLICY_BS_RESTRICTED_CASH,GOVERNED_EVENT_POLICY,2026,4715.54500000,4715.54500000,4715.54500000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_RESTRICTION_EVENTS,CERT-H1|EVENT-POLICY-BS_RESTRICTED_CASH,F-BS-EVENT-BS_RESTRICTED_CASH,MATERIAL,RESOLVED
EVENT_POLICY_BS_RESTRICTED_CASH,EVENT_POLICY_BS_RESTRICTED_CASH,GOVERNED_EVENT_POLICY,2027,4715.54500000,4715.54500000,4715.54500000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_RESTRICTION_EVENTS,CERT-H1|EVENT-POLICY-BS_RESTRICTED_CASH,F-BS-EVENT-BS_RESTRICTED_CASH,MATERIAL,RESOLVED
EVENT_POLICY_BS_RESTRICTED_CASH,EVENT_POLICY_BS_RESTRICTED_CASH,GOVERNED_EVENT_POLICY,2028,4715.54500000,4715.54500000,4715.54500000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_RESTRICTION_EVENTS,CERT-H1|EVENT-POLICY-BS_RESTRICTED_CASH,F-BS-EVENT-BS_RESTRICTED_CASH,MATERIAL,RESOLVED
EVENT_POLICY_BS_RESTRICTED_CASH,EVENT_POLICY_BS_RESTRICTED_CASH,GOVERNED_EVENT_POLICY,2029,4715.54500000,4715.54500000,4715.54500000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_RESTRICTION_EVENTS,CERT-H1|EVENT-POLICY-BS_RESTRICTED_CASH,F-BS-EVENT-BS_RESTRICTED_CASH,MATERIAL,RESOLVED
EVENT_POLICY_BS_RESTRICTED_CASH,EVENT_POLICY_BS_RESTRICTED_CASH,GOVERNED_EVENT_POLICY,2030,4715.54500000,4715.54500000,4715.54500000,RMB_MILLION,OPENING_BALANCE_PLUS_SOURCE_PROVEN_RESTRICTION_EVENTS,CERT-H1|EVENT-POLICY-BS_RESTRICTED_CASH,F-BS-EVENT-BS_RESTRICTED_CASH,MATERIAL,RESOLVED
EVENT_POLICY_BS_TERM_DEPOSITS,EVENT_POLICY_BS_TERM_DEPOSITS,GOVERNED_EVENT_POLICY,2026,11942.61200000,11942.61200000,11942.61200000,RMB_MILLION,GOVERNED_CONSERVATIVE_OPENING_BALANCE_ROLLFORWARD,CERT-H1|EVENT-POLICY-BS_TERM_DEPOSITS,F-BS-EVENT-BS_TERM_DEPOSITS,MATERIAL,RESOLVED
EVENT_POLICY_BS_TERM_DEPOSITS,EVENT_POLICY_BS_TERM_DEPOSITS,GOVERNED_EVENT_POLICY,2027,11942.61200000,11942.61200000,11942.61200000,RMB_MILLION,GOVERNED_CONSERVATIVE_OPENING_BALANCE_ROLLFORWARD,CERT-H1|EVENT-POLICY-BS_TERM_DEPOSITS,F-BS-EVENT-BS_TERM_DEPOSITS,MATERIAL,RESOLVED
EVENT_POLICY_BS_TERM_DEPOSITS,EVENT_POLICY_BS_TERM_DEPOSITS,GOVERNED_EVENT_POLICY,2028,11942.61200000,11942.61200000,11942.61200000,RMB_MILLION,GOVERNED_CONSERVATIVE_OPENING_BALANCE_ROLLFORWARD,CERT-H1|EVENT-POLICY-BS_TERM_DEPOSITS,F-BS-EVENT-BS_TERM_DEPOSITS,MATERIAL,RESOLVED
EVENT_POLICY_BS_TERM_DEPOSITS,EVENT_POLICY_BS_TERM_DEPOSITS,GOVERNED_EVENT_POLICY,2029,11942.61200000,11942.61200000,11942.61200000,RMB_MILLION,GOVERNED_CONSERVATIVE_OPENING_BALANCE_ROLLFORWARD,CERT-H1|EVENT-POLICY-BS_TERM_DEPOSITS,F-BS-EVENT-BS_TERM_DEPOSITS,MATERIAL,RESOLVED
EVENT_POLICY_BS_TERM_DEPOSITS,EVENT_POLICY_BS_TERM_DEPOSITS,GOVERNED_EVENT_POLICY,2030,11942.61200000,11942.61200000,11942.61200000,RMB_MILLION,GOVERNED_CONSERVATIVE_OPENING_BALANCE_ROLLFORWARD,CERT-H1|EVENT-POLICY-BS_TERM_DEPOSITS,F-BS-EVENT-BS_TERM_DEPOSITS,MATERIAL,RESOLVED
PPE_ACQUIRED_INTANGIBLES,PPE_ACQUIRED_INTANGIBLES,PPE_DA_DAG,2026,0.00000000,0.00000000,0.00000000,RMB_MILLION,DERIVED_FORMULA,CERT-H1|CERT-H3A|PPE-EVENT-POLICY,F-PPE_ACQUIRED_INTANGIBLES,MATERIAL,RESOLVED
PPE_ACQUIRED_INTANGIBLES,PPE_ACQUIRED_INTANGIBLES,PPE_DA_DAG,2027,0.00000000,0.00000000,0.00000000,RMB_MILLION,DERIVED_FORMULA,CERT-H1|CERT-H3A|PPE-EVENT-POLICY,F-PPE_ACQUIRED_INTANGIBLES,MATERIAL,RESOLVED
