Scenario,Year,Opening_Debt,Ending_Debt,Scheduled_Opening,Scheduled_EIR,Scheduled_Coupon,Scheduled_Redemption,Scheduled_Ending
BEAR,2026,62385.17000000,75336.24455553,15841.43013494,320.16177488,12.96000000,0.00000000,16148.63190983
BEAR,2027,75336.24455553,69500.98166856,16148.63190983,312.52852557,6.48000000,9074.00000000,7380.68043540
BEAR,2028,69500.98166856,73113.16513676,7380.68043540,217.82918257,0.00000000,0.00000000,7598.50961797
BEAR,2029,73113.16513676,77133.49481733,7598.50961797,223.63641209,0.00000000,0.00000000,7822.14603006
BEAR,2030,77133.49481733,81529.56366877,7822.14603006,230.21839294,0.00000000,0.00000000,8052.36442300
BASE,2026,62385.17000000,76371.78330758,15841.43013494,320.16177488,12.96000000,0.00000000,16148.63190983
BASE,2027,76371.78330758,71939.50397103,16148.63190983,312.52852557,6.48000000,9074.00000000,7380.68043540
BASE,2028,71939.50397103,77310.94872147,7380.68043540,217.82918257,0.00000000,0.00000000,7598.50961797
BASE,2029,77310.94872147,83454.62218027,7598.50961797,223.63641209,0.00000000,0.00000000,7822.14603006
BASE,2030,83454.62218027,90357.96983357,7822.14603006,230.21839294,0.00000000,0.00000000,8052.36442300
BULL,2026,62385.17000000,79168.76960432,15841.43013494,320.16177488,12.96000000,0.00000000,16148.63190983
BULL,2027,79168.76960432,77774.31680430,16148.63190983,312.52852557,6.48000000,9074.00000000,7380.68043540
BULL,2028,77774.31680430,86586.84730501,7380.68043540,217.82918257,0.00000000,0.00000000,7598.50961797
BULL,2029,86586.84730501,96716.02029633,7598.50961797,223.63641209,0.00000000,0.00000000,7822.14603006
BULL,2030,96716.02029633,108285.24573633,7822.14603006,230.21839294,0.00000000,0.00000000,8052.36442300
