Scenario,Year,Control,Stored_Value,Independent_Value,Difference,Authority,Formula,Status
BEAR,2026,SEGMENT_RECONCILIATION,477628.49456167,477628.49456167,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BEAR,2026,BS_IDENTITY,631634.18094215,631634.18094215,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BEAR,2026,CASH_ROLLFORWARD,78493.67792992,78493.67792992,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BEAR,2026,CASH_TO_BS_LINK,96008.72817661,96008.72817661,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BEAR,2026,EQUITY_ROLLFORWARD,178048.02806751,178048.02806751,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BEAR,2026,NCI_ROLLFORWARD,13664.67328778,13664.67328778,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BEAR,2026,NET_PROFIT_LINK,35765.43562580,35765.43562580,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BEAR,2026,EPS_RECOMPUTE,4.76914729,4.76914729,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BEAR,2026,PPE_ROLLFORWARD,46282.51146103,46282.51146103,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BEAR,2026,DEBT_ROLLFORWARD,75336.24455553,75336.24455553,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BEAR,2027,SEGMENT_RECONCILIATION,501294.52149586,501294.52149586,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BEAR,2027,BS_IDENTITY,652351.44452605,652351.44452605,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BEAR,2027,CASH_ROLLFORWARD,81546.64558467,81546.64558467,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BEAR,2027,CASH_TO_BS_LINK,99929.54952017,99929.54952017,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BEAR,2027,EQUITY_ROLLFORWARD,189185.49078489,189185.49078489,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BEAR,2027,NCI_ROLLFORWARD,14139.97628850,14139.97628850,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BEAR,2027,NET_PROFIT_LINK,36814.77900650,36814.77900650,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BEAR,2027,EPS_RECOMPUTE,4.90907214,4.90907214,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BEAR,2027,PPE_ROLLFORWARD,48033.87147379,48033.87147379,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BEAR,2027,DEBT_ROLLFORWARD,69500.98166856,69500.98166856,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BEAR,2028,SEGMENT_RECONCILIATION,528686.06940567,528686.06940567,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BEAR,2028,BS_IDENTITY,685531.65660681,685531.65660681,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BEAR,2028,CASH_ROLLFORWARD,94222.07193713,94222.07193713,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BEAR,2028,CASH_TO_BS_LINK,113609.44763978,113609.44763978,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BEAR,2028,EQUITY_ROLLFORWARD,200819.03647378,200819.03647378,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BEAR,2028,NCI_ROLLFORWARD,14636.45015469,14636.45015469,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BEAR,2028,NET_PROFIT_LINK,38454.57663616,38454.57663616,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
