Scenario,Year,Metric_ID,Value,Unit,Owner
BEAR,2026,PPE_AMORTIZATION,1280.06076660,RMB_MILLION,H3B_ATTEMPT005
BEAR,2026,PPE_CAPEX,8323.17157967,RMB_MILLION,H3B_ATTEMPT005
BEAR,2026,PPE_DEPRECIATION,6440.51335443,RMB_MILLION,H3B_ATTEMPT005
BEAR,2027,PPE_AMORTIZATION,1204.26789102,RMB_MILLION,H3B_ATTEMPT005
BEAR,2027,PPE_CAPEX,8922.74175605,RMB_MILLION,H3B_ATTEMPT005
BEAR,2027,PPE_DEPRECIATION,6655.78148559,RMB_MILLION,H3B_ATTEMPT005
BEAR,2028,PPE_AMORTIZATION,1132.96273988,RMB_MILLION,H3B_ATTEMPT005
BEAR,2028,PPE_CAPEX,9538.59968983,RMB_MILLION,H3B_ATTEMPT005
BEAR,2028,PPE_DEPRECIATION,6930.19468331,RMB_MILLION,H3B_ATTEMPT005
BEAR,2029,PPE_AMORTIZATION,1065.87959334,RMB_MILLION,H3B_ATTEMPT005
BEAR,2029,PPE_CAPEX,10179.61010562,RMB_MILLION,H3B_ATTEMPT005
BEAR,2029,PPE_DEPRECIATION,7255.95117800,RMB_MILLION,H3B_ATTEMPT005
BEAR,2030,PPE_AMORTIZATION,1002.76846494,RMB_MILLION,H3B_ATTEMPT005
BEAR,2030,PPE_CAPEX,10852.23696366,RMB_MILLION,H3B_ATTEMPT005
BEAR,2030,PPE_DEPRECIATION,7627.93294338,RMB_MILLION,H3B_ATTEMPT005
BASE,2026,PPE_AMORTIZATION,1615.43985473,RMB_MILLION,H3B_ATTEMPT005
BASE,2026,PPE_CAPEX,8741.56836899,RMB_MILLION,H3B_ATTEMPT005
BASE,2026,PPE_DEPRECIATION,7071.03609241,RMB_MILLION,H3B_ATTEMPT005
BASE,2027,PPE_AMORTIZATION,1756.69611538,RMB_MILLION,H3B_ATTEMPT005
BASE,2027,PPE_CAPEX,9670.15355500,RMB_MILLION,H3B_ATTEMPT005
BASE,2027,PPE_DEPRECIATION,7202.68377753,RMB_MILLION,H3B_ATTEMPT005
BASE,2028,PPE_AMORTIZATION,1907.42294677,RMB_MILLION,H3B_ATTEMPT005
BASE,2028,PPE_CAPEX,10652.14441457,RMB_MILLION,H3B_ATTEMPT005
BASE,2028,PPE_DEPRECIATION,7479.19735653,RMB_MILLION,H3B_ATTEMPT005
BASE,2029,PPE_AMORTIZATION,2070.17657398,RMB_MILLION,H3B_ATTEMPT005
BASE,2029,PPE_CAPEX,11704.85293981,RMB_MILLION,H3B_ATTEMPT005
BASE,2029,PPE_DEPRECIATION,7877.01218801,RMB_MILLION,H3B_ATTEMPT005
BASE,2030,PPE_AMORTIZATION,2247.20523094,RMB_MILLION,H3B_ATTEMPT005
BASE,2030,PPE_CAPEX,12842.35639385,RMB_MILLION,H3B_ATTEMPT005
BASE,2030,PPE_DEPRECIATION,8381.75983064,RMB_MILLION,H3B_ATTEMPT005
BULL,2026,PPE_AMORTIZATION,2207.27151227,RMB_MILLION,H3B_ATTEMPT005
BULL,2026,PPE_CAPEX,10290.72323086,RMB_MILLION,H3B_ATTEMPT005
BULL,2026,PPE_DEPRECIATION,7696.27768401,RMB_MILLION,H3B_ATTEMPT005
BULL,2027,PPE_AMORTIZATION,2645.71980281,RMB_MILLION,H3B_ATTEMPT005
BULL,2027,PPE_CAPEX,11706.85336962,RMB_MILLION,H3B_ATTEMPT005
BULL,2027,PPE_DEPRECIATION,8243.83402132,RMB_MILLION,H3B_ATTEMPT005
BULL,2028,PPE_AMORTIZATION,3121.26487880,RMB_MILLION,H3B_ATTEMPT005
BULL,2028,PPE_CAPEX,13290.89187611,RMB_MILLION,H3B_ATTEMPT005
BULL,2028,PPE_DEPRECIATION,8872.71335430,RMB_MILLION,H3B_ATTEMPT005
BULL,2029,PPE_AMORTIZATION,3642.65116647,RMB_MILLION,H3B_ATTEMPT005
BULL,2029,PPE_CAPEX,15070.79606087,RMB_MILLION,H3B_ATTEMPT005
BULL,2029,PPE_DEPRECIATION,9638.58955763,RMB_MILLION,H3B_ATTEMPT005
BULL,2030,PPE_AMORTIZATION,4218.85884612,RMB_MILLION,H3B_ATTEMPT005
BULL,2030,PPE_CAPEX,17076.11244509,RMB_MILLION,H3B_ATTEMPT005
BULL,2030,PPE_DEPRECIATION,10564.40602371,RMB_MILLION,H3B_ATTEMPT005
