WACC,Terminal_Growth,Enterprise_Value,Equity_Value,Per_Share
0.05077553,0.01000000,1462007.94342780,1587850.89496347,214.50158256
0.05077553,0.01500000,1640933.27549385,1766776.22702952,238.67247103
0.05077553,0.02000000,1877997.43800930,2003840.38954497,270.69729035
0.05077553,0.02500000,2207034.16617732,2332877.11771299,315.14661436
0.05077553,0.03000000,2694447.95051093,2820290.90204660,380.99097571
0.05172088,0.01000000,1428089.03623218,1553931.98776785,209.91950291
0.05172088,0.01500000,1597846.46954006,1723689.42107573,232.85190683
0.05172088,0.02000000,1821119.89398939,1946962.84552506,263.01374573
0.05172088,0.02500000,2127950.97988149,2253793.93141716,304.46332623
0.05172088,0.03000000,2576042.95662706,2701885.90816273,364.99573419
0.05266623,0.01000000,1395675.90753486,1521518.85907053,205.54083774
0.05266623,0.01500000,1556925.31888701,1682768.27042268,227.32389938
0.05266623,0.02000000,1767537.45478746,1893380.40632313,255.77533434
0.05266623,0.02500000,2054275.66059352,2180118.61212919,294.51058279
0.05266623,0.03000000,2467518.45309356,2593361.40462923,350.33524067
0.06146401,0.01000000,1151240.82637310,1277083.77790877,172.52028656
0.06146401,0.01500000,1256063.66590660,1381906.61744227,186.68072508
0.06146401,0.02000000,1386166.94491847,1512009.89645414,204.25627914
0.06146401,0.02500000,1551950.13928026,1677793.09081593,226.65180611
0.06146401,0.03000000,1770423.11932473,1896266.07086040,256.16515659
0.07026179,0.01000000,978335.34018098,1104178.29171665,149.16261454
0.07026179,0.01500000,1051158.62531707,1177001.57685274,159.00025733
0.07026179,0.02000000,1138470.70703920,1264313.65857487,170.79518075
0.07026179,0.02500000,1245073.25025704,1370916.20179271,185.19603810
0.07026179,0.03000000,1378153.14165483,1503996.09319050,203.17370048
