Metric,Value,Period_Basis,Status
Selected_EV_Revenue,1.06339131,PEER_TTM,PASS
Selected_EV_EBITDA,7.40268367,PEER_TTM,REFERENCE_ONLY_MIDEA_TTM_DENOMINATOR_UNAVAILABLE
Selected_EV_EBIT,11.23486794,PEER_TTM,PASS
Selected_PE,17.57213857,PEER_TTM,PASS
Selected_PB,1.87567527,PEER_TTM,PASS
Implied_EV/Revenue,83.03888471,MIDEA_LTM_2026_03_31,PASS
Implied_EV/EBIT,97.30368050,MIDEA_LTM_2026_03_31,PASS
Implied_P/E,104.91688929,MIDEA_LTM_2026_03_31,PASS
Implied_P/B,58.86295375,MIDEA_LTM_2026_03_31,PASS
Comps_Low,76.99490197,IQR_OF_VALID_PERIOD_ALIGNED_METHODS,PASS
Comps_Central,90.17128260,IQR_OF_VALID_PERIOD_ALIGNED_METHODS,PASS
Comps_High,99.20698269,IQR_OF_VALID_PERIOD_ALIGNED_METHODS,PASS
