Metric_ID,Unit,Economic_Owner,Formula_Class,Dependencies,Period_Rule,Source_Authority,Materiality,Status
BS_AP,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_AR,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CAPITAL_RESERVE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CASH,RMB_MILLION,BALANCE_SHEET,CASH_TAXONOMY,CF_CLOSING_CASH;BS_RESTRICTED_CASH;BS_TERM_DEPOSITS;BS_CASH_TAXONOMY_OTHER,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
BS_CASH_TAXONOMY_OTHER,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CIP,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CONTRACT_ASSETS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CONTRACT_LIABILITIES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CURRENT_PORTION_DEBT,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CURRENT_PORTION_NONCURRENT_ASSETS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CURRENT_PORTION_NONCURRENT_ASSETS_FINANCE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CURRENT_PORTION_NONCURRENT_ASSETS_TREASURY,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_CUSTOMER_DEPOSITS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_DERIVATIVE_FINANCIAL_ASSETS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_DERIVATIVE_LIABILITIES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_EMPLOYEE_COMP,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_GOODWILL,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_INCOME_TAX_PAYABLE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
