Attack_ID,Target,Baseline_SHA,Mutation,Closure_Rehash_Performed,Expected_Result,Actual_Result,Semantic_Control_Reached,Valid_Test,False_Accept
FR-R3-ATK-001,model/H3B_MODEL_LONG.csv,5eafd54840766c723afb204c5b7d2d76f96b27d13067a64da2cc4d76f395b508,H3-B forecast value,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-002,model/H4_WACC_CALCULATION_R3.json,2a1ec8c3a507b1e028a1bf212f9bb2534141d2094500e52fb01f67b2bfa425a7,WACC ERP,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-003,workpapers/BETA_WORKPAPER_R3.json,ed04b80ce656bc0e144b55f9e78a8729478207e42843fdabc1a34eb6373b84b5,WACC beta,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-004,workpapers/COST_OF_DEBT_WORKPAPER_R3.json,0255dfa0a1670485970ba1710d422c97f85af8b06ef534b285c2aa252c6bc963,cost of debt,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-005,model/H5_SCENARIO_VALUATION_R3.csv,e78440b7120552721d171d0b8258a2fc4efaa49640cc5f05bcd063a75e050f37,DCF WACC,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-006,model/H5_SCENARIO_VALUATION_R3.csv,e78440b7120552721d171d0b8258a2fc4efaa49640cc5f05bcd063a75e050f37,DCF terminal growth,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-007,model/H5_EV_TO_EQUITY_BRIDGE.csv,eecfd2fcfa80a01cc66e8dc4587a12c0fcfff2ca4ec344f7d66b0c1bcabfd67e,EV-to-equity bridge,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-008,model/H3B_MODEL_LONG.csv,5eafd54840766c723afb204c5b7d2d76f96b27d13067a64da2cc4d76f395b508,share denominator,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-009,model/H6_NORMALIZED_PEER_DATA_R3.csv,5a2e01952672ea47367c94d537c29517e9e0af29eca63a3faa5c6dac91fb979f,H6 peer price,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-010,model/H6_NORMALIZED_PEER_DATA_R3.csv,5a2e01952672ea47367c94d537c29517e9e0af29eca63a3faa5c6dac91fb979f,H6 peer debt,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-011,model/H6_PEER_PERIOD_REGISTRY_R3.csv,9bc9385fcd8b0255e1624edd1c7d56ce33840af3f7db7f77ac86df677bc06d61,H6 denominator period,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-012,model/H6_COMPS_VALUATION_R3.csv,3d4b07949cf36b793515f03f92f15f67b55041c0dfd091fad97eb6ec5b4b607e,H6 selected multiple,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-013,verification_inputs/authorities/H7_AUTHORITY_R3.json,b09e0004f275838ee5c470cbe83991f1df5a1e49c5cd7695b12eac51086b38eb,H7 synthesis,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-014,sources/valuation/000333_SZ_5Y_MONTHLY.json,b7104db79a5d463319a66012725785bb5d6c289ca106aa9ef4d5744393bbe867,market price,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-015,sources/FINAL_SOURCE_REGISTRY_R3.csv,7b368992c3af7f97a858b985879a6455ac8f341d89448ef8475fbf8de5af84a6,source registry,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-016,excel/MIDEA_GROUP_INSTITUTIONAL_MODEL_R3.xlsx,39b29f99588ecf6eb0fb155da17611a82e7979318380f61c0e067a6ecd454d84,Excel DCF value,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-017,excel/MIDEA_GROUP_INSTITUTIONAL_MODEL_R3.xlsx,39b29f99588ecf6eb0fb155da17611a82e7979318380f61c0e067a6ecd454d84,Excel comps value,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
