Attack_ID,Baseline,Mutation_Precondition,Target_Hash_Changed,Real_Verifier_Executed,Detected_Codes,Result,False_Accept
REVENUE_MISMATCH,PASS,TRUE,TRUE,TRUE,SEGMENT:BASE2026,REJECTED,0
SEGMENT_MISMATCH,PASS,TRUE,TRUE,TRUE,SEGMENT:BASE2026,REJECTED,0
GROSS_MARGIN_MUTATION,PASS,TRUE,TRUE,TRUE,OPERATING_PROFIT:BASE2026,REJECTED,0
WORKING_CAPITAL_DRIVER_MUTATION,PASS,TRUE,TRUE,TRUE,BS_CA_COMPONENTS:BASE2026|FCFF_FULL_NWC:BASE2026|FCFF_FULL_NWC:BASE2027,REJECTED,0
PPE_FORMULA_MUTATION,PASS,TRUE,TRUE,TRUE,BS_NCA_COMPONENTS:BASE2026|PPE_CIP_ROLL:BASE2026|PPE_CIP_ROLL:BASE2027,REJECTED,0
DEBT_MATURITY_MUTATION,PASS,TRUE,TRUE,TRUE,BS_CL_COMPONENTS:BASE2026,REJECTED,0
INTEREST_TIMING_MUTATION,PASS,TRUE,TRUE,TRUE,FINANCE_LINK:BASE2026,REJECTED,0
TAX_FORMULA_MUTATION,PASS,TRUE,TRUE,TRUE,TAX_LINK:BASE2026,REJECTED,0
NCI_MUTATION,PASS,TRUE,TRUE,TRUE,NCI:BASE2026|NI_LINK:BASE2026,REJECTED,0
RETAINED_EARNINGS_MUTATION,PASS,TRUE,TRUE,TRUE,RE:BASE2026|RE:BASE2027,REJECTED,0
SHARE_COUNT_MUTATION,PASS,TRUE,TRUE,TRUE,EPS:BASE2026,REJECTED,0
CASH_PLUG_INSERTION,PASS,TRUE,TRUE,TRUE,BALANCING_PLUG,REJECTED,0
BS_PLUG_INSERTION,PASS,TRUE,TRUE,TRUE,BALANCING_PLUG,REJECTED,0
STATEMENT_LINK_REMOVAL,PASS,TRUE,TRUE,TRUE,CASH:BASE2026|CASH_LINK:BASE2026|CASH_OPENING_DEFINITION:BASE2027|MISSING:CF_CLOSING_CASH,REJECTED,0
PRIOR_PERIOD_SHIFT,PASS,TRUE,TRUE,TRUE,RE:BASE2026|RE:BASE2027,REJECTED,0
UNIT_X100,PASS,TRUE,TRUE,TRUE,SEGMENT:BASE2026,REJECTED,0
POST_CUTOFF_SOURCE_INSERTION,PASS,TRUE,TRUE,TRUE,POST_CUTOFF_SOURCE,REJECTED,0
