Metric,Independent_Recalculation,SQLite,Excel,Dashboard,Report,Memo,Authority,Difference,Status
Market Price,86.26000000,86.26000000,86.26000000,86.26000000,86.26000000,86.26000000,86.26000000,0,PASS
2026E Revenue,485985.02041372,485985.02041372,485985.02041372,485985.02041372,NOT_PRESENT,NOT_PRESENT,485985.02041372,0,PASS
2026E FCFF,43472.65156171,43472.65156171,43472.65156171,43472.65156171,NOT_PRESENT,NOT_PRESENT,43472.65156171,0,PASS
2027E FCFF,50350.50213590,50350.50213590,50350.50213590,50350.50213590,NOT_PRESENT,NOT_PRESENT,50350.50213590,0,PASS
2028E FCFF,54197.54304646,54197.54304646,54197.54304646,54197.54304646,NOT_PRESENT,NOT_PRESENT,54197.54304646,0,PASS
2029E FCFF,58626.54292956,58626.54292956,58626.54292956,58626.54292956,NOT_PRESENT,NOT_PRESENT,58626.54292956,0,PASS
2030E FCFF,63639.58236501,63639.58236501,63639.58236501,63639.58236501,NOT_PRESENT,NOT_PRESENT,63639.58236501,0,PASS
WACC Low,0.05077553,0.05077553,0.05077553,0.05077553,0.05077553,0.05077553,0.05077553,0,PASS
WACC Base,0.05266623,0.05266623,0.05266623,0.05266623,0.05266623,0.05266623,0.05266623,0,PASS
WACC High,0.07026179,0.07026179,0.07026179,0.07026179,0.07026179,0.07026179,0.07026179,0,PASS
DCF Bear,117.43848226,117.43848226,117.43848226,117.43848226,117.43848226,117.43848226,117.43848226,0,PASS
DCF Base,294.51058279,294.51058279,294.51058279,294.51058279,294.51058279,294.51058279,294.51058279,0,PASS
DCF Bull,548.93672533,548.93672533,548.93672533,548.93672533,548.93672533,548.93672533,548.93672533,0,PASS
DCF sensitivity min,149.16261454,149.16261454,149.16261454,149.16261454,NOT_PRESENT,NOT_PRESENT,149.16261454,0,PASS
DCF sensitivity max,380.99097571,380.99097571,380.99097571,380.99097571,NOT_PRESENT,NOT_PRESENT,380.99097571,0,PASS
Reverse DCF implied growth,-0.10355826,-0.10355826,-0.10355826,-0.10355826,-0.10355826,-0.10355826,-0.10355826,0,PASS
Reverse DCF implied FCFF,15882.91161860,15882.91161860,15882.91161860,15882.91161860,15882.91161860,15882.91161860,15882.91161860,0,PASS
Comps Low,76.99490197,76.99490197,76.99490197,76.99490197,76.99490197,76.99490197,76.99490197,0,PASS
Comps Central,90.17128260,90.17128260,90.17128260,90.17128260,90.17128260,90.17128260,90.17128260,0,PASS
Comps High,99.20698269,99.20698269,99.20698269,99.20698269,99.20698269,99.20698269,99.20698269,0,PASS
Base upside,241.42196011,241.42196011,241.42196011,241.42196011,241.42196011,241.42196011,241.42196011,0,PASS
Risk,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MATCH,PASS
Confidence,LOW_TO_MEDIUM,LOW_TO_MEDIUM,LOW_TO_MEDIUM,LOW_TO_MEDIUM,LOW_TO_MEDIUM,LOW_TO_MEDIUM,LOW_TO_MEDIUM,MATCH,PASS
Investment view,DCF_INDICATES_UPSIDE_BUT_LOW_CONFIDENCE,DCF_INDICATES_UPSIDE_BUT_LOW_CONFIDENCE,DCF_INDICATES_UPSIDE_BUT_LOW_CONFIDENCE,DCF_INDICATES_UPSIDE_BUT_LOW_CONFIDENCE,DCF_INDICATES_UPSIDE_BUT_LOW_CONFIDENCE,DCF_INDICATES_UPSIDE_BUT_LOW_CONFIDENCE,DCF_INDICATES_UPSIDE_BUT_LOW_CONFIDENCE,MATCH,PASS
