Metric_ID,H3B_Classification,FCFF_Classification,Cash_Taxonomy,EV_Equity_Classification,Comps_Treatment,Conflict,Status
BS_AP,OPERATING_NWC_LIABILITY,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_AR,OPERATING_NWC_ASSET,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_CAPITAL_RESERVE,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_CASH,CASH_TAXONOMY,EXCLUDED_OR_CASH_ROLLFORWARD,AGGREGATE,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_CASH_TAXONOMY_OTHER,CASH_TAXONOMY,EXCLUDED_OR_CASH_ROLLFORWARD,OTHER_RESIDUAL,EXCLUDED_NOT_EQUITY_AVAILABLE,NOT_APPLICABLE,0,PASS
BS_CIP,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_CONTRACT_ASSETS,OPERATING_NWC_ASSET,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_CONTRACT_LIABILITIES,OPERATING_NWC_LIABILITY,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_CURRENT_PORTION_DEBT,FINANCING,EXCLUDED,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_CURRENT_PORTION_NONCURRENT_ASSETS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
