Identity_ID,Year,Difference,Tolerance,Status
ASSETS_LIABILITIES_EQUITY,2020,0.000,0.001,PASS
ASSETS_LIABILITIES_EQUITY,2021,0.000,0.001,PASS
ASSETS_LIABILITIES_EQUITY,2022,0.000,0.001,PASS
ASSETS_LIABILITIES_EQUITY,2023,0.000,0.001,PASS
ASSETS_LIABILITIES_EQUITY,2024,0.000,0.001,PASS
ASSETS_LIABILITIES_EQUITY,2025,0.000,0.001,PASS
EQUITY_PARENT_NCI,2020,0.00,0.001,PASS
EQUITY_PARENT_NCI,2021,0.000,0.001,PASS
EQUITY_PARENT_NCI,2022,0.000,0.001,PASS
EQUITY_PARENT_NCI,2023,0.000,0.001,PASS
EQUITY_PARENT_NCI,2024,0.000,0.001,PASS
EQUITY_PARENT_NCI,2025,0.000,0.001,PASS
NET_PROFIT_ATTR_NCI,2020,0.000,0.001,PASS
NET_PROFIT_ATTR_NCI,2021,0.000,0.001,PASS
NET_PROFIT_ATTR_NCI,2022,0.000,0.001,PASS
NET_PROFIT_ATTR_NCI,2023,0.000,0.001,PASS
NET_PROFIT_ATTR_NCI,2024,0.000,0.001,PASS
NET_PROFIT_ATTR_NCI,2025,0.000,0.001,PASS
