Scenario,Year,Attempt004_Reported_FCFF,Independent_Economic_NWC_FCFF,Attempt004_Defect_Amount,Attempt005_FCFF,Attempt005_Reproduction_Difference,Status
BEAR,2026,23840.68229642,25473.756708055181722549,1633.074411635181722549,25473.75670806,4.818277451E-9,PASS
BEAR,2027,36641.20010731,38466.237389248607087948,1825.037281938607087948,38466.23738925,1.392912052E-9,PASS
BEAR,2028,38310.09332618,40422.429135043402937607,2112.335808863402937607,40422.42913504,-3.402937607E-9,PASS
BEAR,2029,40241.66700364,42604.381815138843857408,2362.714811498843857408,42604.38181514,1.156142592E-9,PASS
BEAR,2030,42411.05808700,45003.502586710365464152,2592.444499710365464152,45003.50258671,-3.65464152E-10,PASS
BASE,2026,41195.15249569,43472.651561705298899675,2277.499066015298899675,43472.65156171,4.701100325E-9,PASS
BASE,2027,47652.37614741,50350.502135895693443775,2698.125988485693443775,50350.50213590,4.306556225E-9,PASS
BASE,2028,50990.40384029,54197.543046455360117680,3207.139206165360117680,54197.54304646,4.639882320E-9,PASS
BASE,2029,54942.45305823,58626.542929556475573858,3684.089871326475573858,58626.54292956,3.524426142E-9,PASS
BASE,2030,59486.83674462,63639.582365005320597554,4152.745620385320597554,63639.58236501,4.679402446E-9,PASS
BULL,2026,61189.41525026,65207.502897865377579450,4018.087647605377579450,65207.50289787,4.622420550E-9,PASS
BULL,2027,61359.38813259,65947.979651256090805500,4588.591518666090805500,65947.97965126,3.909194500E-9,PASS
BULL,2028,68484.04235680,73832.598763380638538692,5348.556406580638538692,73832.59876338,-6.38538692E-10,PASS
BULL,2029,76744.10208743,82908.402529085834810544,6164.300441655834810544,82908.40252909,4.165189456E-9,PASS
BULL,2030,86256.06998039,93312.431399000146830598,7056.361418610146830598,93312.43139900,-1.46830598E-10,PASS
