Year,Identity_ID,Formula,Components,Residual,Tolerance,Status
2020,ASSETS_LIABILITIES_EQUITY,1*BS_TOTAL_ASSETS+-1*BS_TOTAL_LIABILITIES+-1*BS_TOTAL_EQUITY,BS_TOTAL_ASSETS|BS_TOTAL_LIABILITIES|BS_TOTAL_EQUITY,0.000,0.001,PASS
2020,EQUITY_PARENT_NCI,1*BS_TOTAL_EQUITY+-1*BS_PARENT_EQUITY+-1*BS_NCI,BS_TOTAL_EQUITY|BS_PARENT_EQUITY|BS_NCI,0.00,0.001,PASS
2020,NET_PROFIT_ATTR_NCI,1*IS_NET_PROFIT+-1*IS_ATTRIBUTABLE_NI+-1*IS_NCI_PROFIT,IS_NET_PROFIT|IS_ATTRIBUTABLE_NI|IS_NCI_PROFIT,0.000,0.001,PASS
2021,ASSETS_LIABILITIES_EQUITY,1*BS_TOTAL_ASSETS+-1*BS_TOTAL_LIABILITIES+-1*BS_TOTAL_EQUITY,BS_TOTAL_ASSETS|BS_TOTAL_LIABILITIES|BS_TOTAL_EQUITY,0.000,0.001,PASS
2021,EQUITY_PARENT_NCI,1*BS_TOTAL_EQUITY+-1*BS_PARENT_EQUITY+-1*BS_NCI,BS_TOTAL_EQUITY|BS_PARENT_EQUITY|BS_NCI,0.000,0.001,PASS
2021,NET_PROFIT_ATTR_NCI,1*IS_NET_PROFIT+-1*IS_ATTRIBUTABLE_NI+-1*IS_NCI_PROFIT,IS_NET_PROFIT|IS_ATTRIBUTABLE_NI|IS_NCI_PROFIT,0.000,0.001,PASS
2022,ASSETS_LIABILITIES_EQUITY,1*BS_TOTAL_ASSETS+-1*BS_TOTAL_LIABILITIES+-1*BS_TOTAL_EQUITY,BS_TOTAL_ASSETS|BS_TOTAL_LIABILITIES|BS_TOTAL_EQUITY,0.000,0.001,PASS
2022,EQUITY_PARENT_NCI,1*BS_TOTAL_EQUITY+-1*BS_PARENT_EQUITY+-1*BS_NCI,BS_TOTAL_EQUITY|BS_PARENT_EQUITY|BS_NCI,0.000,0.001,PASS
2022,NET_PROFIT_ATTR_NCI,1*IS_NET_PROFIT+-1*IS_ATTRIBUTABLE_NI+-1*IS_NCI_PROFIT,IS_NET_PROFIT|IS_ATTRIBUTABLE_NI|IS_NCI_PROFIT,0.000,0.001,PASS
2023,ASSETS_LIABILITIES_EQUITY,1*BS_TOTAL_ASSETS+-1*BS_TOTAL_LIABILITIES+-1*BS_TOTAL_EQUITY,BS_TOTAL_ASSETS|BS_TOTAL_LIABILITIES|BS_TOTAL_EQUITY,0.000,0.001,PASS
2023,EQUITY_PARENT_NCI,1*BS_TOTAL_EQUITY+-1*BS_PARENT_EQUITY+-1*BS_NCI,BS_TOTAL_EQUITY|BS_PARENT_EQUITY|BS_NCI,0.000,0.001,PASS
2023,NET_PROFIT_ATTR_NCI,1*IS_NET_PROFIT+-1*IS_ATTRIBUTABLE_NI+-1*IS_NCI_PROFIT,IS_NET_PROFIT|IS_ATTRIBUTABLE_NI|IS_NCI_PROFIT,0.000,0.001,PASS
2024,ASSETS_LIABILITIES_EQUITY,1*BS_TOTAL_ASSETS+-1*BS_TOTAL_LIABILITIES+-1*BS_TOTAL_EQUITY,BS_TOTAL_ASSETS|BS_TOTAL_LIABILITIES|BS_TOTAL_EQUITY,0.000,0.001,PASS
2024,EQUITY_PARENT_NCI,1*BS_TOTAL_EQUITY+-1*BS_PARENT_EQUITY+-1*BS_NCI,BS_TOTAL_EQUITY|BS_PARENT_EQUITY|BS_NCI,0.000,0.001,PASS
2024,NET_PROFIT_ATTR_NCI,1*IS_NET_PROFIT+-1*IS_ATTRIBUTABLE_NI+-1*IS_NCI_PROFIT,IS_NET_PROFIT|IS_ATTRIBUTABLE_NI|IS_NCI_PROFIT,0.000,0.001,PASS
2025,ASSETS_LIABILITIES_EQUITY,1*BS_TOTAL_ASSETS+-1*BS_TOTAL_LIABILITIES+-1*BS_TOTAL_EQUITY,BS_TOTAL_ASSETS|BS_TOTAL_LIABILITIES|BS_TOTAL_EQUITY,0.000,0.001,PASS
2025,EQUITY_PARENT_NCI,1*BS_TOTAL_EQUITY+-1*BS_PARENT_EQUITY+-1*BS_NCI,BS_TOTAL_EQUITY|BS_PARENT_EQUITY|BS_NCI,0.000,0.001,PASS
2025,NET_PROFIT_ATTR_NCI,1*IS_NET_PROFIT+-1*IS_ATTRIBUTABLE_NI+-1*IS_NCI_PROFIT,IS_NET_PROFIT|IS_ATTRIBUTABLE_NI|IS_NCI_PROFIT,0.000,0.001,PASS
