Metric_ID,Classification,Treatment,Sign
BS_AR,OPERATING_CURRENT_ASSET,INCLUDED,1
BS_INVENTORY,OPERATING_CURRENT_ASSET,INCLUDED,1
BS_CONTRACT_ASSETS,OPERATING_CURRENT_ASSET,INCLUDED,1
BS_PREPAYMENTS,OPERATING_CURRENT_ASSET,INCLUDED,1
BS_OTHER_RECEIVABLES,OPERATING_CURRENT_ASSET,INCLUDED,1
BS_AP,OPERATING_CURRENT_LIABILITY,INCLUDED,-1
BS_CONTRACT_LIABILITIES,OPERATING_CURRENT_LIABILITY,INCLUDED,-1
BS_NOTES_PAYABLE,OPERATING_CURRENT_LIABILITY,INCLUDED,-1
BS_EMPLOYEE_COMP,OPERATING_CURRENT_LIABILITY,INCLUDED,-1
BS_OTHER_PAYABLES,OPERATING_CURRENT_LIABILITY,INCLUDED,-1
BS_TAXES_PAYABLE,OPERATING_CURRENT_LIABILITY,INCLUDED,-1
