Scenario,Year,Economic_NWC,Delta_Economic_NWC,Financial_Services_Net_Investment,Delta_Financial_Services_Net_Investment,Status
BEAR,2025,-131003.79600000,,11900.78000000,,PASS
BEAR,2026,-123615.19703103,7388.59896897,12452.90848838,552.12848838,PASS
BEAR,2027,-128945.43580304,-5330.23877201,13069.93798109,617.02949271,PASS
BEAR,2028,-135446.88088471,-6501.44508167,13784.10064801,714.16266692,PASS
BEAR,2029,-142922.16388312,-7475.28299841,14582.91431387,798.81366586,PASS
BEAR,2030,-151254.58840667,-8332.42452355,15459.39762206,876.48330819,PASS
BASE,2025,-131003.79600000,,11900.78000000,,PASS
BASE,2026,-133300.17104354,-2296.37504354,12670.78295128,770.00295128,PASS
BASE,2027,-141659.79765381,-8359.62661027,13582.99626680,912.21331552,PASS
BASE,2028,-152101.16044250,-10441.36278869,14667.30259682,1084.30633002,PASS
BASE,2029,-164406.81027275,-12305.64983025,15912.86186666,1245.55926984,PASS
BASE,2030,-178480.72368962,-14073.91341687,17316.86963613,1404.00776947,PASS
BULL,2025,-131003.79600000,,11900.78000000,,PASS
BULL,2026,-150933.73090490,-19929.93490490,13259.26106081,1358.48106081,PASS
BULL,2027,-167720.59153234,-16786.86062744,14810.62460001,1551.36353920,PASS
BULL,2028,-187562.46831741,-19841.87678507,16618.92576669,1808.30116668,PASS
BULL,2029,-210618.82632573,-23056.35800832,18703.02301333,2084.09724664,PASS
BULL,2030,-237144.04917063,-26525.22284490,21088.71844510,2385.69543177,PASS
