Period,Scenario,Operating_NWC_Assets,Operating_NWC_Liabilities,Operating_NWC,Delta_NWC,Source,Status
2020A,ACTUAL,89005.15000000,161495.61100000,-72490.46100000,,H1_CERTIFIED_PLUS_PRIMARY_NOTE_SPLITS,PASS
2021A,ACTUAL,105375.91500000,185126.56600000,-79750.65100000,-7260.19000000,H1_CERTIFIED_PLUS_PRIMARY_NOTE_SPLITS,PASS
2022A,ACTUAL,110694.47700000,189145.33400000,-78450.85700000,1299.79400000,H1_CERTIFIED_PLUS_PRIMARY_NOTE_SPLITS,PASS
2023A,ACTUAL,117240.24600000,222642.72600000,-105402.48000000,-26951.62300000,H1_CERTIFIED_PLUS_PRIMARY_NOTE_SPLITS,PASS
2024A,ACTUAL,149290.27600000,273243.20400000,-123952.92800000,-18550.44800000,H1_CERTIFIED_PLUS_PRIMARY_NOTE_SPLITS,PASS
2025A,ACTUAL,156455.36800000,287459.16400000,-131003.79600000,-7050.86800000,H1_CERTIFIED_PLUS_PRIMARY_NOTE_SPLITS,PASS
2026E,BASE,157407.01222133,290707.18326487,-133300.17104354,-2296.37504354,H3B_ATTEMPT005,PASS
2027E,BASE,169422.49515417,311082.29280798,-141659.79765381,-8359.62661027,H3B_ATTEMPT005,PASS
2028E,BASE,183425.75174754,335526.91219004,-152101.16044250,-10441.36278869,H3B_ATTEMPT005,PASS
2029E,BASE,199339.44943360,363746.25970635,-164406.81027275,-12305.64983025,H3B_ATTEMPT005,PASS
2030E,BASE,217165.56423647,395646.28792609,-178480.72368962,-14073.91341687,H3B_ATTEMPT005,PASS
